target,self_lag,pearson_corr,abs_corr,pass_0.6
Thailand,1,0.739703,0.739703,True
Thailand,2,0.72401,0.72401,True
Thailand,3,0.708523,0.708523,True
Thailand,4,0.811537,0.811537,True
Thailand,5,0.699507,0.699507,True
Thailand,6,0.603097,0.603097,True
Thailand,7,0.578239,0.578239,False
Thailand,8,0.58674,0.58674,False
Thailand,9,0.646687,0.646687,True
Thailand,10,0.46315,0.46315,False
Thailand,11,0.441623,0.441623,False
Thailand,12,0.420299,0.420299,False
Thailand,13,0.524662,0.524662,False
Thailand,14,0.332313,0.332313,False
Thailand,15,0.31594,0.31594,False
Thailand,16,0.299492,0.299492,False
Thailand,17,0.338648,0.338648,False
Thailand,18,0.296722,0.296722,False
Thailand,19,0.234114,0.234114,False
Thailand,20,0.227426,0.227426,False
Thailand,21,0.236862,0.236862,False
Thailand,22,0.339265,0.339265,False
Thailand,23,0.18688,0.18688,False
Thailand,24,0.182947,0.182947,False
Thailand,25,0.179357,0.179357,False
Thailand,26,0.267805,0.267805,False
Thailand,27,0.180308,0.180308,False
Thailand,28,0.186244,0.186244,False
Thailand,29,0.195636,0.195636,False
Thailand,30,0.313605,0.313605,False
Thailand,31,0.28183,0.28183,False
Thailand,32,0.25996,0.25996,False
Thailand,33,0.272625,0.272625,False
Thailand,34,0.342443,0.342443,False
Thailand,35,0.431689,0.431689,False
Thailand,36,0.34444,0.34444,False
Thailand,37,0.360183,0.360183,False
Thailand,38,0.375856,0.375856,False
Thailand,39,0.596226,0.596226,False
Thailand,40,0.442663,0.442663,False
Thailand,41,0.455432,0.455432,False
Thailand,42,0.471034,0.471034,False
Thailand,43,0.615106,0.615106,True
Thailand,44,0.55907,0.55907,False
Thailand,45,0.540736,0.540736,False
Thailand,46,0.560573,0.560573,False
Thailand,47,0.603009,0.603009,True
Thailand,48,0.765118,0.765118,True
Thailand,49,0.656347,0.656347,True
Thailand,50,0.675637,0.675637,True
Thailand,51,0.695014,0.695014,True
Thailand,52,0.896682,0.896682,True
